ensembl_gene_id	control	control	infected	infected
ENSG00000227232.5	80.1644861771278	74.3671760205309	50.0454855963491	51.0882687541382
ENSG00000279457.3	115.495378149147	107.143019633375	71.3809573014169	72.8683014479229
ENSG00000225972.1	796.6144468036	739.005133208773	955.732808498104	975.647133719898
ENSG00000225630.1	154.952568480349	143.74675725545	150.521278496588	153.657646387412
ENSG00000237973.1	1883.81159304568	1747.57869737978	1348.73167278815	1376.8348004929
ENSG00000229344.1	538.379355537241	499.445006241197	302.230427558468	308.527914651937
ENSG00000248527.1	2131.64250649005	1977.48705259238	1341.50820522334	1369.46081964546
ENSG00000198744.5	845.99072501305	784.810633224421	663.33350579846	677.155192202364
ENSG00000228327.3	42.019909381058	38.981126759838	33.6862996602644	34.3882112416064
ENSG00000237491.8	68.7057844069685	63.7371410493676	33.193603889438	33.8852493129915
ENSG00000177757.2	19.8189115372854	18.385653711695	4.45981486788638	4.55274272692645
ENSG00000228794.8	137.894894521075	127.922654809046	130.125858244635	132.837252724145
ENSG00000188976.10	313.671033502506	290.987070128297	331.821421774815	338.735487766926
ENSG00000187961.13	65.8388201092427	61.077508976102	66.191978145312	67.5712010495996
ENSG00000188290.10	5.20398067531762	4.82764083379363	21.7747958528949	22.2285109104895
ENSG00000187608.8	43.0451579203296	39.9322316969586	167.393719554682	170.881653568935
ENSG00000188157.13	591.81372043412	549.015121504598	520.137732841725	530.97569077289
ENSG00000217801.9	2.05448196951164	1.90590658711503	16.8494898026523	17.2005776974779
ENSG00000131591.17	33.3983563077935	30.9830644563745	30.1629615677634	30.7914583829527
ENSG00000078808.16	712.728223895731	661.185367846554	303.514227640746	309.838464901344
ENSG00000176022.4	150.183684017423	139.322747482689	76.1268072886473	77.7130393243826
ENSG00000160087.20	251.86501144154	233.650716576665	139.65970564362	142.569754115157
ENSG00000162572.19	32.9938132043269	30.607776974123	23.7259907339529	24.2203622690556
ENSG00000131584.18	431.30739123568	400.116238655956	221.666976303008	226.285786306995
ENSG00000169972.11	14.0765042765304	13.0585240573171	15.8230990630016	16.1528003539434
ENSG00000127054.18	390.620979405228	362.372173989297	293.839533250082	299.96218173105
ENSG00000240731.1	30.5104476924193	28.3040027100519	11.3898753577636	11.6272028619503
ENSG00000224051.6	94.3654603828795	87.5411686297853	83.0464177637031	84.7768317006802
ENSG00000107404.17	233.676306611662	216.777376795252	161.687833254331	165.056875383264
ENSG00000162576.16	1355.01300084131	1257.02159583509	198.19196835029	202.321636474038
ENSG00000175756.13	95.5296135990913	88.6211329790059	67.2427030126688	68.6438195639475
ENSG00000221978.11	1767.06741978574	1639.27719260859	1221.450113434	1246.90111248399
ENSG00000224870.6	36.3751255752245	33.7445606580018	34.6768035881263	35.3993540103426
ENSG00000242485.5	57.7452515912853	53.5692486065507	36.6006966560484	37.3633346758713
ENSG00000272455.1	18.1047629321515	16.7954683675057	6.94378285995887	7.08846843412059
